region,rank,knowledge_index,similarity,text
113,1,7876,0.314044,The lymph node metastases show extensive extracapsular extension and architectural replacement.
113,2,6352,0.306073,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
113,3,7292,0.304793,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
114,1,6352,0.310383,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
114,2,7876,0.304422,The lymph node metastases show extensive extracapsular extension and architectural replacement.
114,3,6206,0.298866,The largest metastatic focus measures 1 cm with extracapsular extension.
115,1,6352,0.319793,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
115,2,7121,0.299048,- The final diagnosis is infiltrating lobular carcinoma with focal lobular carcinoma in situ and cancerization of terminal ducts.
115,3,6702,0.298882,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
116,1,4069,0.295437,The nipple and other glandular tissue are tumor-free with fibrocystic mammopathy.
116,2,1928,0.293508,Biopsy site changes with fibrosis are observed.
116,3,1054,0.287889,4. Skin of left breast: Fibrosis.
117,1,6352,0.309543,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
117,2,5108,0.303960,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
117,3,1449,0.303179,Twenty-six lymph nodes are negative for metastatic carcinoma.
118,1,7876,0.306148,The lymph node metastases show extensive extracapsular extension and architectural replacement.
118,2,6352,0.301810,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
118,3,6206,0.300099,The largest metastatic focus measures 1 cm with extracapsular extension.
119,1,7876,0.308129,The lymph node metastases show extensive extracapsular extension and architectural replacement.
119,2,7292,0.305969,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
119,3,6352,0.303662,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
120,1,6352,0.305419,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
120,2,7653,0.304537,- Distant metastasis: Present.
120,3,4714,0.298660,"The final diagnosis is infiltrating ductal carcinoma of the breast, Nottingham grade II, with ductal carcinoma in situ and micrometastasis in the right axillary lymph node."
121,1,6352,0.320456,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
121,2,6702,0.300587,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
121,3,2362,0.299565,- Fibrosis.
122,1,4069,0.298428,The nipple and other glandular tissue are tumor-free with fibrocystic mammopathy.
122,2,1054,0.290309,4. Skin of left breast: Fibrosis.
122,3,4909,0.289392,The remaining breast tissue shows lipomatous atrophy.
123,1,6352,0.312738,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
123,2,5108,0.308554,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
123,3,7292,0.302934,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
124,1,7876,0.312428,The lymph node metastases show extensive extracapsular extension and architectural replacement.
124,2,6352,0.310971,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
124,3,5108,0.305376,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
125,1,7876,0.307993,The lymph node metastases show extensive extracapsular extension and architectural replacement.
125,2,637,0.303020,"The report also provides information on various factors such as tumor type, Nottingham Grade, angiolymphatic invasion, surgical margins involvement, lymph node metastasis, and TNM stage."
125,3,7292,0.299726,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
126,1,6352,0.302060,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
126,2,7653,0.301614,- Distant metastasis: Present.
126,3,1371,0.299583,"The report concludes by mentioning that the tumor is ER-negative, PR-positive, and HER2-equivocal."
127,1,6352,0.310282,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
127,2,6702,0.298970,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
127,3,5108,0.294110,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
128,1,4909,0.301643,The remaining breast tissue shows lipomatous atrophy.
128,2,4069,0.299063,The nipple and other glandular tissue are tumor-free with fibrocystic mammopathy.
128,3,1187,0.299004,"The patient had a simple mastectomy for a 2.3 x 1.8 x 1.5 cm mass in the left breast, which was determined to be infiltrating ductal carcinoma, Nottingham grade III."
129,1,7876,0.304490,The lymph node metastases show extensive extracapsular extension and architectural replacement.
129,2,6352,0.301273,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
129,3,5108,0.300608,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
130,1,7876,0.307059,The lymph node metastases show extensive extracapsular extension and architectural replacement.
130,2,7292,0.301576,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
130,3,5108,0.298507,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
131,1,7876,0.300891,The lymph node metastases show extensive extracapsular extension and architectural replacement.
131,2,637,0.295282,"The report also provides information on various factors such as tumor type, Nottingham Grade, angiolymphatic invasion, surgical margins involvement, lymph node metastasis, and TNM stage."
131,3,4880,0.293787,- Diagnosis: Metaplastic carcinoma.
132,1,6352,0.313339,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
132,2,7653,0.297533,- Distant metastasis: Present.
132,3,7876,0.294977,The lymph node metastases show extensive extracapsular extension and architectural replacement.
133,1,2362,0.294499,- Fibrosis.
133,2,3749,0.293701,[name redacted].
133,3,6352,0.292581,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
134,1,4069,0.296168,The nipple and other glandular tissue are tumor-free with fibrocystic mammopathy.
134,2,3892,0.293117,"- The re-excision of the posterior margin of the left breast shows skeletal muscle and fibroadipose tissue, with no carcinoma identified."
134,3,4909,0.292824,The remaining breast tissue shows lipomatous atrophy.
135,1,7876,0.304911,The lymph node metastases show extensive extracapsular extension and architectural replacement.
135,2,6206,0.296903,The largest metastatic focus measures 1 cm with extracapsular extension.
135,3,637,0.296844,"The report also provides information on various factors such as tumor type, Nottingham Grade, angiolymphatic invasion, surgical margins involvement, lymph node metastasis, and TNM stage."
136,1,7876,0.303307,The lymph node metastases show extensive extracapsular extension and architectural replacement.
136,2,637,0.302693,"The report also provides information on various factors such as tumor type, Nottingham Grade, angiolymphatic invasion, surgical margins involvement, lymph node metastasis, and TNM stage."
136,3,7292,0.299526,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
137,1,6352,0.308291,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
137,2,7876,0.301329,The lymph node metastases show extensive extracapsular extension and architectural replacement.
137,3,7947,0.295930,"The diagnosis includes invasive lobular carcinoma, SBR grade II, and lobular carcinoma in situ."
138,1,6352,0.303933,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
138,2,7653,0.295590,- Distant metastasis: Present.
138,3,1247,0.291310,"The report states that the diagnosis before the operation was a left breast mass, and the post-operation diagnosis remains the same."
139,1,3749,0.289094,[name redacted].
139,2,5815,0.288029,The margins of normal tissues were also described.
139,3,4909,0.287491,The remaining breast tissue shows lipomatous atrophy.
140,1,1054,0.289201,4. Skin of left breast: Fibrosis.
140,2,6352,0.288960,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
140,3,7288,0.288442,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
141,1,7876,0.302398,The lymph node metastases show extensive extracapsular extension and architectural replacement.
141,2,6206,0.296735,The largest metastatic focus measures 1 cm with extracapsular extension.
141,3,7653,0.296545,- Distant metastasis: Present.
142,1,6352,0.301851,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
142,2,7292,0.300062,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
142,3,7876,0.297113,The lymph node metastases show extensive extracapsular extension and architectural replacement.
143,1,6352,0.317221,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
143,2,7292,0.300418,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
143,3,7876,0.298054,The lymph node metastases show extensive extracapsular extension and architectural replacement.
144,1,6352,0.313758,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
144,2,6702,0.295699,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
144,3,5108,0.294835,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
145,1,4909,0.297525,The remaining breast tissue shows lipomatous atrophy.
145,2,4069,0.296060,The nipple and other glandular tissue are tumor-free with fibrocystic mammopathy.
145,3,1229,0.292116,The biopsy site showed changes consistent with fibrosis and granulation tissue.
146,1,6352,0.303920,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
146,2,1449,0.298616,Twenty-six lymph nodes are negative for metastatic carcinoma.
146,3,5108,0.295172,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
147,1,7876,0.300939,The lymph node metastases show extensive extracapsular extension and architectural replacement.
147,2,6206,0.300592,The largest metastatic focus measures 1 cm with extracapsular extension.
147,3,1371,0.297214,"The report concludes by mentioning that the tumor is ER-negative, PR-positive, and HER2-equivocal."
148,1,6352,0.309849,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
148,2,7292,0.297080,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
148,3,1449,0.295474,Twenty-six lymph nodes are negative for metastatic carcinoma.
149,1,6352,0.314803,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
149,2,7292,0.300915,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
149,3,7876,0.299898,The lymph node metastases show extensive extracapsular extension and architectural replacement.
150,1,6352,0.308527,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
150,2,2362,0.294653,- Fibrosis.
150,3,5349,0.291754,- Sarcomatous: Positive.
151,1,4069,0.298325,The nipple and other glandular tissue are tumor-free with fibrocystic mammopathy.
151,2,4909,0.294210,The remaining breast tissue shows lipomatous atrophy.
151,3,3246,0.292509,"The non-neoplastic breast tissue shows ductal ectasia, fibrosis, and microcyst formation."
152,1,6352,0.318070,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
152,2,5108,0.311136,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
152,3,1449,0.309961,Twenty-six lymph nodes are negative for metastatic carcinoma.
153,1,7876,0.302767,The lymph node metastases show extensive extracapsular extension and architectural replacement.
153,2,1371,0.297339,"The report concludes by mentioning that the tumor is ER-negative, PR-positive, and HER2-equivocal."
153,3,6206,0.296879,The largest metastatic focus measures 1 cm with extracapsular extension.
154,1,6352,0.308631,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
154,2,5349,0.296442,- Sarcomatous: Positive.
154,3,6925,0.295143,"- Infiltrating lobular carcinoma, Nottingham grade II."
155,1,6352,0.312163,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
155,2,7876,0.301951,The lymph node metastases show extensive extracapsular extension and architectural replacement.
155,3,1247,0.295882,"The report states that the diagnosis before the operation was a left breast mass, and the post-operation diagnosis remains the same."
156,1,6352,0.302213,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
156,2,2362,0.295425,- Fibrosis.
156,3,5110,0.292030,"- Skeletal muscle and fibroadipose tissue, negative for carcinoma."
157,1,4909,0.304296,The remaining breast tissue shows lipomatous atrophy.
157,2,2455,0.298583,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
157,3,4069,0.294742,The nipple and other glandular tissue are tumor-free with fibrocystic mammopathy.
158,1,7876,0.308892,The lymph node metastases show extensive extracapsular extension and architectural replacement.
158,2,7292,0.300888,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
158,3,6206,0.297325,The largest metastatic focus measures 1 cm with extracapsular extension.
159,1,7876,0.298192,The lymph node metastases show extensive extracapsular extension and architectural replacement.
159,2,7292,0.297554,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
159,3,7653,0.297280,- Distant metastasis: Present.
160,1,6352,0.309819,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
160,2,7292,0.296839,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
160,3,6925,0.295151,"- Infiltrating lobular carcinoma, Nottingham grade II."
161,1,6352,0.320471,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
161,2,2362,0.301455,- Fibrosis.
161,3,6702,0.300524,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
162,1,4909,0.299725,The remaining breast tissue shows lipomatous atrophy.
162,2,5815,0.297887,The margins of normal tissues were also described.
162,3,1656,0.297613,The Nottingham Histologic Score could not be determined due to missing information.
163,1,2040,0.314469,"Additional specimens submitted include fragments of adipose tissue, skin, and skin tag."
163,2,6352,0.307228,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
163,3,6702,0.305573,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
164,1,7876,0.302516,The lymph node metastases show extensive extracapsular extension and architectural replacement.
164,2,6206,0.299088,The largest metastatic focus measures 1 cm with extracapsular extension.
164,3,3914,0.294952,The largest metastasis measured 3.4 cm and had extracapsular extension.
165,1,6352,0.294054,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
165,2,1449,0.292787,Twenty-six lymph nodes are negative for metastatic carcinoma.
165,3,7292,0.292616,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
166,1,6352,0.321397,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
166,2,6702,0.303328,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
166,3,7947,0.301619,"The diagnosis includes invasive lobular carcinoma, SBR grade II, and lobular carcinoma in situ."
167,1,6352,0.297288,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
167,2,4069,0.293535,The nipple and other glandular tissue are tumor-free with fibrocystic mammopathy.
167,3,2362,0.293464,- Fibrosis.
168,1,4909,0.306083,The remaining breast tissue shows lipomatous atrophy.
168,2,1187,0.305971,"The patient had a simple mastectomy for a 2.3 x 1.8 x 1.5 cm mass in the left breast, which was determined to be infiltrating ductal carcinoma, Nottingham grade III."
168,3,1258,0.302208,"In the left breast, the carcinoma is poorly differentiated, with high-grade ductal carcinoma in situ (DCIS) and no lymphovascular invasion."
169,1,6352,0.315915,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
169,2,6702,0.307818,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
169,3,7292,0.307169,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
170,1,7876,0.305452,The lymph node metastases show extensive extracapsular extension and architectural replacement.
170,2,6206,0.298828,The largest metastatic focus measures 1 cm with extracapsular extension.
170,3,7292,0.298053,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
171,1,6352,0.296346,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
171,2,2033,0.294783,- Extensive vascular invasion.
171,3,4572,0.293369,There are no identified masses or areas of fibrosis.
172,1,6352,0.324879,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
172,2,6702,0.307085,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
172,3,7947,0.298424,"The diagnosis includes invasive lobular carcinoma, SBR grade II, and lobular carcinoma in situ."
173,1,5815,0.298711,The margins of normal tissues were also described.
173,2,4909,0.297125,The remaining breast tissue shows lipomatous atrophy.
173,3,1656,0.295906,The Nottingham Histologic Score could not be determined due to missing information.
174,1,2455,0.312038,This portion of adipose tissue contains 20 lymph nodes ranging in size from 0.2 to 3.5 cm.
174,2,2040,0.310045,"Additional specimens submitted include fragments of adipose tissue, skin, and skin tag."
174,3,1954,0.303353,- Multifocal fat necrosis.
175,1,6352,0.309325,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
175,2,7876,0.305425,The lymph node metastases show extensive extracapsular extension and architectural replacement.
175,3,7292,0.301080,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
176,1,6352,0.308037,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
176,2,2362,0.294928,- Fibrosis.
176,3,2033,0.293074,- Extensive vascular invasion.
177,1,6352,0.316764,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
177,2,6702,0.298246,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
177,3,6925,0.297217,"- Infiltrating lobular carcinoma, Nottingham grade II."
178,1,6352,0.317877,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
178,2,6702,0.302637,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
178,3,2362,0.302469,- Fibrosis.
179,1,4069,0.298556,The nipple and other glandular tissue are tumor-free with fibrocystic mammopathy.
179,2,5815,0.298138,The margins of normal tissues were also described.
179,3,4909,0.293971,The remaining breast tissue shows lipomatous atrophy.
180,1,6352,0.322642,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
180,2,5108,0.308696,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
180,3,2040,0.307254,"Additional specimens submitted include fragments of adipose tissue, skin, and skin tag."
181,1,6352,0.320437,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
181,2,6206,0.301891,The largest metastatic focus measures 1 cm with extracapsular extension.
181,3,7876,0.300054,The lymph node metastases show extensive extracapsular extension and architectural replacement.
182,1,4880,0.293505,- Diagnosis: Metaplastic carcinoma.
182,2,6352,0.292738,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
182,3,4572,0.291894,There are no identified masses or areas of fibrosis.
183,1,6352,0.317872,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
183,2,5108,0.297114,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
183,3,6702,0.295704,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
184,1,4069,0.295468,The nipple and other glandular tissue are tumor-free with fibrocystic mammopathy.
184,2,2362,0.293208,- Fibrosis.
184,3,3246,0.292578,"The non-neoplastic breast tissue shows ductal ectasia, fibrosis, and microcyst formation."
185,1,4909,0.302641,The remaining breast tissue shows lipomatous atrophy.
185,2,6352,0.298163,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
185,3,6702,0.298155,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
186,1,6352,0.312318,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
186,2,7876,0.305617,The lymph node metastases show extensive extracapsular extension and architectural replacement.
186,3,637,0.302016,"The report also provides information on various factors such as tumor type, Nottingham Grade, angiolymphatic invasion, surgical margins involvement, lymph node metastasis, and TNM stage."
187,1,6352,0.321837,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
187,2,1098,0.299365,- Lymphatic-vascular Invasion: None.
187,3,637,0.298661,"The report also provides information on various factors such as tumor type, Nottingham Grade, angiolymphatic invasion, surgical margins involvement, lymph node metastasis, and TNM stage."
188,1,7678,0.298012,One lymph node has a 0/1 (TCGA-EW-A12-914-PR).
188,2,7292,0.297126,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
188,3,637,0.296962,"The report also provides information on various factors such as tumor type, Nottingham Grade, angiolymphatic invasion, surgical margins involvement, lymph node metastasis, and TNM stage."
189,1,6352,0.315687,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
189,2,2362,0.299502,- Fibrosis.
189,3,6702,0.296905,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
190,1,4909,0.296476,The remaining breast tissue shows lipomatous atrophy.
190,2,6544,0.292535,1. Left Breast:.
190,3,6537,0.292535,1. Left Breast:.
191,1,6352,0.316642,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
191,2,5108,0.310655,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
191,3,7292,0.307506,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
192,1,6352,0.318336,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
192,2,6702,0.302941,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
192,3,7653,0.296564,- Distant metastasis: Present.
193,1,6352,0.299978,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
193,2,7876,0.296444,The lymph node metastases show extensive extracapsular extension and architectural replacement.
193,3,637,0.296213,"The report also provides information on various factors such as tumor type, Nottingham Grade, angiolymphatic invasion, surgical margins involvement, lymph node metastasis, and TNM stage."
194,1,6352,0.303066,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
194,2,7876,0.302641,The lymph node metastases show extensive extracapsular extension and architectural replacement.
194,3,7292,0.298238,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
195,1,6352,0.312683,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
195,2,1054,0.301771,4. Skin of left breast: Fibrosis.
195,3,2362,0.300539,- Fibrosis.
196,1,4909,0.309278,The remaining breast tissue shows lipomatous atrophy.
196,2,1187,0.300999,"The patient had a simple mastectomy for a 2.3 x 1.8 x 1.5 cm mass in the left breast, which was determined to be infiltrating ductal carcinoma, Nottingham grade III."
196,3,1351,0.295666,Additional right breast tissue in the superficial region shows no evidence of carcinoma in the fibroadipose tissue.
197,1,7876,0.305995,The lymph node metastases show extensive extracapsular extension and architectural replacement.
197,2,7292,0.302236,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
197,3,5108,0.301369,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
198,1,6352,0.318124,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
198,2,7876,0.303876,The lymph node metastases show extensive extracapsular extension and architectural replacement.
198,3,6702,0.299591,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
199,1,6352,0.315489,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
199,2,7876,0.300446,The lymph node metastases show extensive extracapsular extension and architectural replacement.
199,3,7292,0.297992,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
200,1,6352,0.319953,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
200,2,6702,0.296083,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
200,3,6925,0.295512,"- Infiltrating lobular carcinoma, Nottingham grade II."
201,1,1258,0.298738,"In the left breast, the carcinoma is poorly differentiated, with high-grade ductal carcinoma in situ (DCIS) and no lymphovascular invasion."
201,2,2334,0.296426,There is no information regarding neo-adjuvant treatment or any additional pathological findings.
201,3,1758,0.296071,A tumor was found on the right breast.
202,1,2040,0.306083,"Additional specimens submitted include fragments of adipose tissue, skin, and skin tag."
202,2,6702,0.303444,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
202,3,7239,0.300377,"4. Right axillary contents: The examination of the axillary fat revealed multiple lymph nodes, all of which were entirely submitted for evaluation."
203,1,7876,0.301162,The lymph node metastases show extensive extracapsular extension and architectural replacement.
203,2,6352,0.297617,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
203,3,7653,0.297070,- Distant metastasis: Present.
204,1,6352,0.328200,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
204,2,6702,0.303791,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
204,3,7947,0.299526,"The diagnosis includes invasive lobular carcinoma, SBR grade II, and lobular carcinoma in situ."
205,1,6352,0.312572,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
205,2,7876,0.307508,The lymph node metastases show extensive extracapsular extension and architectural replacement.
205,3,6206,0.302330,The largest metastatic focus measures 1 cm with extracapsular extension.
206,1,6352,0.322460,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
206,2,6702,0.303563,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
206,3,1054,0.296172,4. Skin of left breast: Fibrosis.
207,1,4909,0.292859,The remaining breast tissue shows lipomatous atrophy.
207,2,6544,0.290595,1. Left Breast:.
207,3,6537,0.290595,1. Left Breast:.
208,1,6352,0.312706,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
208,2,6702,0.307742,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
208,3,1449,0.307532,Twenty-six lymph nodes are negative for metastatic carcinoma.
209,1,7653,0.300010,- Distant metastasis: Present.
209,2,7876,0.299275,The lymph node metastases show extensive extracapsular extension and architectural replacement.
209,3,6352,0.299137,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
210,1,6352,0.325920,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
210,2,7947,0.301196,"The diagnosis includes invasive lobular carcinoma, SBR grade II, and lobular carcinoma in situ."
210,3,7876,0.299600,The lymph node metastases show extensive extracapsular extension and architectural replacement.
211,1,6352,0.308799,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
211,2,7876,0.301169,The lymph node metastases show extensive extracapsular extension and architectural replacement.
211,3,7292,0.296547,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
212,1,6352,0.315024,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
212,2,6702,0.301831,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
212,3,6925,0.299755,"- Infiltrating lobular carcinoma, Nottingham grade II."
213,1,4909,0.302926,The remaining breast tissue shows lipomatous atrophy.
213,2,1187,0.298184,"The patient had a simple mastectomy for a 2.3 x 1.8 x 1.5 cm mass in the left breast, which was determined to be infiltrating ductal carcinoma, Nottingham grade III."
213,3,1656,0.294981,The Nottingham Histologic Score could not be determined due to missing information.
214,1,6352,0.314277,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
214,2,7292,0.304632,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
214,3,5108,0.303387,- Metastatic carcinoma involving two of twelve lymph nodes (2/12).
215,1,6352,0.315311,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
215,2,7876,0.300659,The lymph node metastases show extensive extracapsular extension and architectural replacement.
215,3,6702,0.298503,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
216,1,6352,0.320484,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
216,2,7876,0.299963,The lymph node metastases show extensive extracapsular extension and architectural replacement.
216,3,7292,0.295022,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
217,1,6352,0.324792,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
217,2,6702,0.306866,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
217,3,7292,0.297400,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
218,1,6352,0.290756,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
218,2,7288,0.289087,"- Invasive Lobular Carcinoma, Nottingham grade 3, measuring 3.3 cm in size and involving the nipple dermis."
218,3,5349,0.288986,- Sarcomatous: Positive.
219,1,4909,0.307886,The remaining breast tissue shows lipomatous atrophy.
219,2,1187,0.304366,"The patient had a simple mastectomy for a 2.3 x 1.8 x 1.5 cm mass in the left breast, which was determined to be infiltrating ductal carcinoma, Nottingham grade III."
219,3,1656,0.298924,The Nottingham Histologic Score could not be determined due to missing information.
220,1,6352,0.308489,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
220,2,7876,0.307544,The lymph node metastases show extensive extracapsular extension and architectural replacement.
220,3,7292,0.303369,- Metastatic Carcinoma in 20 out of 24 lymph nodes with extranodal extension.
221,1,6352,0.329394,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
221,2,6702,0.303982,"- Invasive lobular carcinoma, Nottingham grade 2, in the left breast."
221,3,7681,0.296813,8. Invasive lobular carcinoma found in the lower outer quadrant of the right breast with a size of 1.5 cm in the largest dimension.
222,1,6352,0.313628,The invasive lobular carcinoma measures 3.8 cm and is classified as grade I-L.
